Role,Company,Location,County,Industry,Salary,Salary Min,Salary Max,Work Type,Apply URL,Notes,Status,Source,First Listed,Last Verified
Software Engineer,Barclays,Knutsford,Cheshire,Banking / Financial Services,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://search.jobs.barclays/job/knutsford/software-engineer/13015/17904617152,Radbroke Hall campus. Java/cloud stack.,Live,Career page,2026-05-05,2026-05-05
Software Developer,Barclays,Knutsford,Cheshire,Banking / Financial Services,"£50,000 – £65,000 (est.)",50000,65000,Hybrid,https://search.jobs.barclays/job/knutsford/software-developer/13015/28051540784,Knutsford technology campus. Multiple openings.,Live,Career page,2026-05-05,2026-05-05
Technology Developer Non-Rotational Graduate Programme 2026,Barclays,Knutsford,Cheshire,Banking / Financial Services,"£35,000 – £42,000 (est.)",35000,42000,Hybrid,https://search.jobs.barclays/job/knutsford/technology-developer-non-rotational-graduate-programme-2026-knutsford/13015/86189217136,Aug 2026 start. Strong degree + one programming language.,Live,Career page,2026-05-05,2026-05-05
Senior Software Engineer - Backend,Auto Trader UK,Manchester,Greater Manchester,AutoTech / Marketplace,"£60,000 – £80,000",60000,80000,Hybrid,https://careers.autotrader.co.uk/jobs/technology,"FTSE 250 marketplace. XP, TDD, Kotlin/Java. 10% shares + 29 days holiday.",Live,Career page,2026-05-05,2026-05-05
Principal Full Stack Engineer,Auto Trader UK,Manchester,Greater Manchester,AutoTech / Marketplace,"£75,000 – £95,000 (est.)",75000,95000,Hybrid,https://careers.autotrader.co.uk/jobs/technology,Cross-team principal IC role. Manchester HQ.,Live,Career page,2026-05-05,2026-05-05
Graduate Software Developer,Auto Trader UK,Manchester,Greater Manchester,AutoTech / Marketplace,"£28,000 + 10% shares",28000,28000,Hybrid,https://builtinmanchester.uk/job/graduate-software-developer/3394871,2-year permanent grad scheme. 6-week Academy Foundation.,Live,Career page,2026-05-05,2026-05-05
Senior Frontend Engineer,THG (The Hut Group),Manchester (Icon),Greater Manchester,eCommerce / DTC,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://www.thg.com/careers,Owns frontend on THG's eCommerce platform.,Live,Career page,2026-05-05,2026-05-05
Software Engineer,AJ Bell,Manchester,Greater Manchester,Investment Platforms / FS,"£45,000 – £60,000 (est.)",45000,60000,Hybrid,https://www.ajbell.co.uk/group/careers/vacancies/744000118204986,FTSE 250 investment platform (£96bn AUM). .NET/Azure stack.,Live,Career page,2026-05-05,2026-05-05
Software Engineer (GenAI),AJ Bell,Manchester,Greater Manchester,Investment Platforms / FS,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://www.ajbell.co.uk/group/careers/vacancies/744000118212398,Building AJ Bell's GenAI capability inside a regulated FS environment.,Live,Career page,2026-05-05,2026-05-05
Software Engineer - Returner Programme,AJ Bell,Manchester,Greater Manchester,Investment Platforms / FS,"£45,000 – £60,000 (est.)",45000,60000,Hybrid,https://www.ajbell.co.uk/group/careers/vacancies/743999974999364,Re-entry programme for engineers returning after a career break.,Live,Career page,2026-05-05,2026-05-05
Senior Software Engineer (Java / Spring Boot),esure Group,Manchester,Greater Manchester,Insurance,"£55,000 – £70,000 (est.)",55000,70000,Hybrid,https://careers.smartrecruiters.com/esureGroup,Cross-functional Agile teams. Direct insurer.,Live,Career page,2026-05-05,2026-05-05
Senior Full Stack Software Engineer (x7),Gamma Communications,Manchester,Greater Manchester,Telecoms / UCaaS,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://gammagroup.co/company/careers-vacancies/,Listed UCaaS leader (LON:GAMA). 7 roles open.,Live,Career page,2026-05-05,2026-05-05
Software Engineer,BAE Systems,Warton,Lancashire,Defence / Aerospace,"£45,000 – £65,000 (est.)",45000,65000,Onsite,https://jobsearch.baesystems.com/browse-jobs/location/preston-united-kingdom,Air sector engineering at the Warton/Preston site.,Live,Career page,2026-05-05,2026-05-05
Senior Software Developer - Developer Platform,bet365,Manchester,Greater Manchester,iGaming,"£65,000 – £90,000 (est.)",65000,90000,Onsite,https://www.linkedin.com/company/bet365/jobs,Internal developer platform team. C#/.NET/Erlang.,Live,Career page,2026-05-05,2026-05-05
Computer Vision Engineer,SeeChange Technologies,Manchester,Greater Manchester,AI / Computer Vision,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://builtinmanchester.uk/jobs/dev-engineering/search/artificial-intelligence,Real-time CV at the edge for retail/loss prevention.,Live,Career page,2026-05-05,2026-05-05
Solutions Developer (.NET / C# / Blazor),Quintessential Brands Group,Warrington,Cheshire,Spirits / Consumer Goods,"£45,000 – £55,000 (est.)",45000,55000,Hybrid,"https://www.glassdoor.co.uk/Job/warrington-net-developer-jobs-SRCH_IL.0,10_IC3380932_KO11,24.htm",Verify - possible agency-listed; flagged.,Live,Career page,2026-05-05,2026-05-05
Software Engineer Intern (Applied Sciences),Innovative Technology,Oldham,Greater Manchester,Validation / Industrial Tech,"£24,000 – £30,000 (est.)",24000,30000,Onsite,https://uk.indeed.com/q-software-developer-l-manchester-jobs.html,12-month intern role from Summer 2026.,Live,Career page,2026-05-05,2026-05-05
Software Engineer,Raytheon UK,Manchester,Greater Manchester,Defence / Aerospace,"£50,000 – £70,000 (est.)",50000,70000,Onsite,https://www.totaljobs.com/jobs/software-developer/in-manchester,Permanent role across multiple levels. Defence security clearance typically required.,Live,Career page,2026-05-05,2026-05-05
Senior Laravel Developer,Skuuudle,Manchester (Remote-first),Greater Manchester,eCommerce Pricing Intelligence,"£60,000 – £80,000 (est.)",60000,80000,Remote,https://devitjobs.uk/,"UK pricing intelligence firm. Hires direct, no PSL.",Live,Career page,2026-05-05,2026-05-05
Software Developer,Capita,Manchester,Greater Manchester,Tech Services / BPO,"£40,000 – £55,000 (est.)",40000,55000,Hybrid,https://uk.indeed.com/q-Capita-l-Manchester-jobs.html,Direct employer hire.,Live,Indeed,2026-05-05,2026-05-05
Software Development Manager,Pico Technology,Manchester M3,Greater Manchester,Test & Measurement Hardware,"£70,000 – £90,000 (est.)",70000,90000,Hybrid,https://uk.indeed.com/q-Pico-Technology-l-Manchester-jobs.html,Manages dev teams building PicoScope/PicoLog firmware + apps.,Live,Indeed,2026-05-05,2026-05-05
Contract PHP / Laravel Developer,AND Digital,Manchester (Hybrid),Greater Manchester,Digital Consultancy,£450 – £550/day (est.),450,550,Hybrid,https://uk.indeed.com/q-AND-Digital-l-Manchester-jobs.html,Digital consultancy hires direct (not via PSL).,Live,Indeed,2026-05-05,2026-05-05
Cloud AI API Integrations - Subject Matter Expert,Prolific Academic Ltd,Liverpool (Remote),Merseyside,AI Research / Data Tooling,"£70,000 – £90,000 (est.)",70000,90000,Remote,https://uk.indeed.com/q-Prolific-l-Liverpool-jobs.html,Direct employer. AI research-tools scale-up. AI premium applies.,Live,Indeed,2026-05-05,2026-05-05
Software Engineer (React & Node.js),interactive investor,Manchester (Hybrid),Greater Manchester,Investment Platform / FS,"£50,000 – £60,000",50000,60000,Hybrid,https://uk.indeed.com/q-interactive-investor-l-Manchester-jobs.html,abrdn-owned DIY investment platform. Salary verified via LinkedIn + CWJobs.,Live,Indeed,2026-05-05,2026-05-05
Software Developer,Adviser Cloud,Didsbury,Greater Manchester,FinTech / Adviser SaaS,"£45,000 – £60,000 (est.)",45000,60000,Hybrid,https://uk.indeed.com/q-Adviser-Cloud-l-Didsbury-jobs.html,Manchester FinTech building software for IFAs.,Live,Indeed,2026-05-05,2026-05-05
Software Developer,National Monitoring,Altrincham WA14,Greater Manchester,Security / Alarm Monitoring SaaS,"£40,000 – £55,000 (est.)",40000,55000,Onsite,https://uk.indeed.com/q-National-Monitoring-l-Altrincham-jobs.html,ARC SaaS for alarm monitoring.,Live,Indeed,2026-05-05,2026-05-05
Software Engineer,Parkingeye Limited,Coppull PR7,Lancashire,Parking / Mobility Tech,"£40,000 – £55,000 (est.)",40000,55000,Onsite,https://uk.indeed.com/q-Parkingeye-l-Lancashire-jobs.html,Capita-owned but operates as standalone brand.,Live,Indeed,2026-05-05,2026-05-05
Front-end Developer,iTEL,Chester CH4,Cheshire,Telecoms,"£40,000 – £55,000 (est.)",40000,55000,Hybrid,https://uk.indeed.com/q-iTEL-l-Chester-jobs.html,Cheshire-based telecoms company hiring direct.,Live,Indeed,2026-05-05,2026-05-05
PHP Laravel Developer,Deeplinx Limited,Accrington BB5,Lancashire,Web Dev / Bespoke Software,"£35,000 – £50,000 (est.)",35000,50000,Onsite,https://uk.indeed.com/q-Deeplinx-l-Accrington-jobs.html,Lancashire-based bespoke software shop.,Live,Indeed,2026-05-05,2026-05-05
Full Stack Engineer,LetOps AI,Salford M50,Greater Manchester,AI / PropTech,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://uk.indeed.com/q-LetOps-AI-l-Salford-jobs.html,AI-powered lettings platform. Verify size.,Live,Indeed,2026-05-05,2026-05-05
Staff Software Engineer,Foundation Health,Manchester (Remote),Greater Manchester,Healthcare Tech,"£70,000 – £95,000 (est.)",70000,95000,Remote,https://www.linkedin.com/company/foundation-health/jobs,"US health-tech, hiring NW remote. Verify NW office presence.",Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Engineer,INRIX,Altrincham,Greater Manchester,Mobility / Traffic Data,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://www.linkedin.com/company/inrix/jobs,US traffic-data leader with UK office in Altrincham.,Live,LinkedIn,2026-05-05,2026-05-05
Principal Software Engineer,Interact Software,Manchester M2,Greater Manchester,Employee Comms SaaS,"£80,000 – £100,000 (est.)",80000,100000,Hybrid,https://www.linkedin.com/company/interact-software/jobs,Manchester-HQ employee comms / intranet SaaS.,Live,LinkedIn,2026-05-05,2026-05-05
"Staff Software Engineer, Product Engineering, UK",Ashby,Manchester (Remote),Greater Manchester,HR Tech / ATS SaaS,"£138,000 – £224,000",138000,224000,Remote,https://www.linkedin.com/company/ashbyhq/jobs,US HR-tech scale-up hiring NW remote. Premium salary band — standout.,Live,LinkedIn,2026-05-05,2026-05-05
Lead Software Engineer,Haystack,Manchester,Greater Manchester,Employee Experience SaaS,"£75,000 – £95,000 (est.)",75000,95000,Hybrid,https://www.linkedin.com/company/usehaystack/jobs,Manchester-based employee experience platform.,Live,LinkedIn,2026-05-05,2026-05-05
Full Stack Developer (Laravel / React Native),Housr,Manchester,Greater Manchester,PropTech,"£50,000 – £70,000 (est.)",50000,70000,Hybrid,https://www.linkedin.com/company/housr/jobs,PropTech / lettings platform.,Live,LinkedIn,2026-05-05,2026-05-05
Frontend Engineer,Fletchers Group,Manchester,Greater Manchester,Legal Services / InsurTech,"£50,000 – £70,000 (est.)",50000,70000,Hybrid,https://www.linkedin.com/company/fletchers-group/jobs,Personal injury / serious injury law firm with in-house product team.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Engineer,Cox Automotive Europe,Manchester,Greater Manchester,AutoTech / Automotive Services,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://www.linkedin.com/company/cox-automotive/jobs,Atlanta-HQ automotive group. UK product engineering team in Manchester.,Live,LinkedIn,2026-05-05,2026-05-05
Lead Software Engineer,Arch Europe Insurance Services,Manchester,Greater Manchester,Specialty Insurance,"£75,000 – £95,000 (est.)",75000,95000,Onsite,https://www.linkedin.com/company/arch-insurance-international/jobs,Lloyd's syndicate operator. In-house engineering.,Live,LinkedIn,2026-05-05,2026-05-05
Software Engineer,Moorepay,Salford,Greater Manchester,Payroll / HR SaaS,"£45,000 – £60,000 (est.)",45000,60000,Hybrid,https://www.linkedin.com/company/moorepay/jobs,"Salford-based payroll SaaS, owned by Zellis.",Live,LinkedIn,2026-05-05,2026-05-05
Senior Developer,Heywood,Altrincham,Greater Manchester,Pensions Tech,"£60,000 – £70,000",60000,70000,Hybrid,https://www.linkedin.com/company/heywood/jobs,Pensions software for UK schemes.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Engineer,Dals,Stretford,Greater Manchester,Software (verify),"£55,000",55000,55000,Hybrid,https://www.linkedin.com/company/dals/jobs,Small Stretford-based dev shop. Verify size.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Full Stack Engineer - Web,Roku,Greater Manchester (Hybrid),Greater Manchester,Streaming / Media Tech,"£75,000 – £100,000 (est.)",75000,100000,Hybrid,https://www.linkedin.com/company/roku-inc-/jobs,US streaming giant with UK engineering presence in NW.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Developer,Matched,Manchester,Greater Manchester,Brand Experience SaaS,"£50,000 – £60,000",50000,60000,Hybrid,https://www.linkedin.com/company/matched-co/jobs,Manchester brand experience / commerce platform.,Live,LinkedIn,2026-05-05,2026-05-05
Software Engineer,BBC,Salford (MediaCityUK),Greater Manchester,Broadcasting / Public Service Media,"£50,000 – £70,000 (est.)",50000,70000,Hybrid,https://www.linkedin.com/company/bbc/jobs,BBC product engineering at MediaCityUK. Major NW employer.,Live,LinkedIn,2026-05-05,2026-05-05
Software Engineer,Ford Motor Company,Manchester,Greater Manchester,Automotive / Mobility,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://www.linkedin.com/company/ford-motor-company/jobs,Ford global IT / connected vehicle team.,Live,LinkedIn,2026-05-05,2026-05-05
Lead Software Engineer,Ford Motor Company,Manchester,Greater Manchester,Automotive / Mobility,"£75,000 – £95,000 (est.)",75000,95000,Hybrid,https://www.linkedin.com/company/ford-motor-company/jobs,Lead-level role on the same Manchester engineering team.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Developer - musicMagpie,AO,Stockport,Greater Manchester,eCommerce / Reverse Logistics,"£55,000 – £70,000 (est.)",55000,70000,Onsite,https://www.linkedin.com/company/ao-com/jobs,AO World plc (LON:AO) HQ in Stockport. musicMagpie product line.,Live,LinkedIn,2026-05-05,2026-05-05
Software Engineer,Qurated,Manchester,Greater Manchester,Software (verify),"£45,000 – £60,000 (est.)",45000,60000,Hybrid,https://www.linkedin.com/company/qurated/jobs,Manchester product company. Verify size + sector.,Live,LinkedIn,2026-05-05,2026-05-05
Software Engineer,Roke,Manchester,Greater Manchester,Defence / R&D Tech,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://www.linkedin.com/company/roke-manor-research/jobs,Defence R&D firm (Roke Manor Research). UK security clearance.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Engineer,FORT,Manchester,Greater Manchester,Software (verify),"£50,000 – £60,000",50000,60000,Hybrid,https://www.linkedin.com/company/fort/jobs,Verify direct-employer status before outreach.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Mobile Developer,Street Group,Manchester,Greater Manchester,PropTech,"£60,000 – £75,000",60000,75000,Hybrid,https://www.linkedin.com/company/street-group/jobs,"Manchester PropTech (Street.co.uk, Spectre).",Live,LinkedIn,2026-05-05,2026-05-05
Senior Frontend Developer,MONY Group plc,Manchester,Greater Manchester,FinTech / Comparison,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://www.jobs.monygroup.com/jobs,Money.co.uk parent group. Direct hire.,Live,LinkedIn,2026-05-05,2026-05-05
Lead Software Engineer,Informed Solutions,Altrincham,Greater Manchester,Digital Services / GovTech,"£75,000 – £95,000 (est.)",75000,95000,Hybrid,https://www.linkedin.com/company/informed-solutions/jobs,Altrincham digital services consultancy.,Live,LinkedIn,2026-05-05,2026-05-05
"Software Engineer, Full-Stack Applications - Ratings Technology",Fitch Group,Manchester,Greater Manchester,Financial Data / Ratings,"£60,000 – £85,000 (est.)",60000,85000,Hybrid,https://www.linkedin.com/company/fitch-group/jobs,Big-three credit ratings agency. UK ratings tech team in Manchester.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Engineer,Opencast,Manchester,Greater Manchester,Tech Consultancy (B Corp),"£59,000 – £72,000",59000,72000,Hybrid,https://www.linkedin.com/company/opencast-software/jobs,B Corp consultancy hiring direct.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Engineer (UK Remote),Turnitin,Manchester (Remote),Greater Manchester,EdTech,"£65,000 – £85,000 (est.)",65000,85000,Remote,https://www.linkedin.com/company/turnitin/jobs,US EdTech. UK remote roles based out of Manchester area.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Java Developer,Vix Technology,Manchester,Greater Manchester,Transit / Ticketing Tech,"£75,000 – £95,000 (est.)",75000,95000,Hybrid,https://www.linkedin.com/company/vixtechnology/jobs,Public transport ticketing platform.,Live,LinkedIn,2026-05-05,2026-05-05
Senior Software Developer,Clio,Manchester,Greater Manchester,Legal SaaS,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://www.linkedin.com/company/clio---cloud-based-legal-technology/jobs,Canadian legal practice management SaaS. UK eng team in Manchester.,Live,LinkedIn,2026-05-05,2026-05-05
Principal Engineer,CreateFuture,Greater Manchester (Hybrid),Greater Manchester,Tech Consultancy,"£90,000 – £115,000 (est.)",90000,115000,Hybrid,https://www.linkedin.com/company/createfuture/jobs,Tech consultancy hiring direct.,Live,LinkedIn,2026-05-05,2026-05-05
Application Engineer,Nexperia,Stockport SK7,Greater Manchester,Semiconductor / Hardware,"£55,000 – £65,000 + 10% bonus",55000,65000,Onsite,https://www.cwjobs.co.uk/jobs/in-stockport,Dutch semiconductor manufacturer. Stockport site engineering team. Verified salary.,Live,CWJobs,2026-05-05,2026-05-05
Senior Fullstack Software Engineer (Java / Spring Boot / Microservices),TPXImpact Holdings Plc,Manchester M1,Greater Manchester,Digital Services / Public Sector,"£50,000 – £65,000",50000,65000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,AIM-listed digital transformation consultancy. Direct hire.,Live,CWJobs,2026-05-05,2026-05-05
Systems Developer,Guinness Partnership,Oldham OL9,Greater Manchester,Housing Association,"£56,357",56357,56357,Hybrid,https://www.cwjobs.co.uk/jobs/in-oldham,Top-10 UK housing association. In-house systems team. Verified salary.,Live,CWJobs,2026-05-05,2026-05-05
Robotic Systems Software Control Developer,RoBAT Limited,Macclesfield SK10 (Tytherington),Cheshire,Robotics / Automation,"£40,000 – £60,000 DOE",40000,60000,Onsite,https://www.cwjobs.co.uk/jobs/in-macclesfield,Cheshire-based robotics engineering company. Direct hire.,Live,CWJobs,2026-05-05,2026-05-05
Java Engineer,PA Consulting,Manchester,Greater Manchester,Strategic Consultancy,"£65,000 – £90,000 (est.)",65000,90000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,Top-tier consulting firm hiring own engineers (not via PSL).,Live,CWJobs,2026-05-05,2026-05-05
Full Stack Engineer,PA Consulting,Morecambe,Lancashire,Strategic Consultancy,"£60,000 – £85,000 (est.)",60000,85000,Hybrid,https://www.cwjobs.co.uk/jobs/in-lancashire,Lancashire-based PA Consulting engineer role. Lancashire find.,Live,CWJobs,2026-05-05,2026-05-05
"Lead Software Engineer (Java, AWS) - Contract Inside IR35",The Very Group,Liverpool,Merseyside,eCommerce / Retail FS,£600 – £750/day (est.),600,750,Hybrid,https://www.cwjobs.co.uk/jobs/in-liverpool,Liverpool-based digital retailer. Major Merseyside employer. Contract role.,Live,CWJobs,2026-05-05,2026-05-05
Lead Software Engineer,DWP Digital,Manchester M2,Greater Manchester,Public Sector / Digital,"£75,026 – £92,522 + 28.97% pension",75026,92522,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,DWP Digital flagship NW hub. Verified salary + huge pension contribution.,Live,CWJobs,2026-05-05,2026-05-05
Senior Front-End Developer,Protein Works,Liverpool,Merseyside,DTC / Sports Nutrition,"£50,000 – £65,000 (est.)",50000,65000,Hybrid,https://www.cwjobs.co.uk/jobs/in-liverpool,Liverpool-based DTC supplements brand. Direct in-house team.,Live,CWJobs,2026-05-05,2026-05-05
Senior Software Developer (Vehicle Services),PBP,Liverpool,Merseyside,Vehicle Services / Insurance Tech,"£55,000 – £70,000 (est.)",55000,70000,Hybrid,https://www.cwjobs.co.uk/jobs/in-liverpool,Liverpool vehicle-services platform. Verify size.,Live,CWJobs,2026-05-05,2026-05-05
Full-Stack Engineer Opportunities,The Bank of New York Mellon,Manchester,Greater Manchester,Banking / Financial Services,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,BNY Mellon Manchester tech hub. Multiple full-stack openings.,Live,CWJobs,2026-05-05,2026-05-05
"Vice President, Full-Stack Engineer",The Bank of New York Mellon,Manchester,Greater Manchester,Banking / Financial Services,"£90,000 – £130,000 (est.)",90000,130000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,BNY Mellon VP tech role. Senior leadership.,Live,CWJobs,2026-05-05,2026-05-05
"Senior Specialist, Full-Stack Engineer",The Bank of New York Mellon,Manchester,Greater Manchester,Banking / Financial Services,"£70,000 – £95,000 (est.)",70000,95000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,BNY Mellon senior IC role.,Live,CWJobs,2026-05-05,2026-05-05
"Vice President, AI / Machine Learning Software Engineer",The Bank of New York Mellon,Manchester,Greater Manchester,Banking / FS / AI,"£100,000 – £140,000 (est.)",100000,140000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,BNY Mellon AI Hub. AI premium applies. VP-level.,Live,CWJobs,2026-05-05,2026-05-05
"Senior Associate, AI/ML Engineer - AI Hub",The Bank of New York Mellon,Manchester,Greater Manchester,Banking / FS / AI,"£70,000 – £95,000 (est.)",70000,95000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,BNY Mellon AI Hub IC role. AI premium applies.,Live,CWJobs,2026-05-05,2026-05-05
Senior PHP (Laravel) Developer,Mediablanket Ltd,Manchester,Greater Manchester,Digital Agency / Media,"£45,000 – £60,000 (est.)",45000,60000,Hybrid,https://www.cwjobs.co.uk/jobs/in-manchester,Manchester-based digital/media firm. Verify scale.,Live,CWJobs,2026-05-05,2026-05-05
AI Engineer,Kyndryl,Liverpool,Merseyside,Tech Services / AI,"£70,000 – £90,000 (est.)",70000,90000,Hybrid,https://www.cwjobs.co.uk/jobs/in-liverpool,IBM spin-off (NYSE:KD). Liverpool AI engineering. Merseyside + AI win.,Live,CWJobs,2026-05-05,2026-05-05
